"Nummer","Bezeich","GatterDefine","CSharpTyp","LenMax","NachkDef","Typ","Match","Hilfe"
"6382","Zahlungsbetrag","ID_KASSZBEL_ZAHLUNGSBETRAG","double","20","2","11","zahlungsbetrag",""
"6383","Zami Ident","ID_KASSZBEL_ZAMIID","int","8","0","11","zamiid",""
"6384","BLZ (Zami)","ID_KASSZBEL_ZAMIBLZ","string","20","0","10","zamiblz",""
"6385","Kontonummer (Zami)","ID_KASSZBEL_ZAMIKONTO","string","20","0","10","zamikonto",""
"6386","Zami-Nummer","ID_KASSZBEL_ZAMINUMMER","string","40","0","10","zaminummer",""
"6387","Belegnummer (Zami)","ID_KASSZBEL_ZAMIBELEGNR","int","20","0","11","zamibelegnr",""
"6388","Kassennummer (Zami)","ID_KASSZBEL_ZAMIKASSE","int","8","0","11","zamikasse",""
"6389","Sitzung (Zami)","ID_KASSZBEL_ZAMISITZUNG","int","8","0","11","zamisitzung",""
"6390","IBAN (Zami)","ID_KASSZBEL_ZAMIIBAN","string","34","0","10","zamiiban",""
"6391","BIC (Zami)","ID_KASSZBEL_ZAMIBIC","string","11","0","10","zamibic",""
"6400","Einheit","ID_KASSZBEL_STURZEINHEIT","string","20","0","10","sturzeinheit",""
"6401","Anzahl","ID_KASZBEL_STURZANZAHL","int","8","0","11","sturzanzahl",""
"6402","Betrag aus Einheit * Anzahl","ID_KASSZBEL_STURZBETRAG","double","20","2","11","sturzbetrag",""
"6410","Unterberichttitel","ID_KASSZBEL_STURZUNTERBERICHTTITEL","string","40","0","10","unterberichttitel",""
"6420","Summe","ID_KASSZBEL_STURZSUMME","double","20","2","11","sturzsumme",""
"6430","Summe Storno Eingang","ID_KASSZBEL_STURZBETRAGEIN","double","20","2","11","sturzbetragein",""
"6431","Summe Storno Ausgang","ID_KASSZBEL_STURZBETRAGAUS","double","20","2","11","sturzbetragaus",""
"6432","Text Eingang/Ausgang","ID_KASSSZBEL_STURZSTORNOEINAUS","string","20","0","10","sturzstornoeinaus",""
"6440","Text Manko/Pari/Überschuss","ID_KASSZBEL_STURZMANKO","string","20","0","10","manko",""
"6441","Zähldifferenz","ID_KASSZBEL_STURZZAEHLDIFF","double","20","2","11","sturzzaehldiff",""
"6450","Kasenbeleg Barcode","ID_KASSBEL_BARCODE","string","0","0","10","Kassenbarcode","Barcode für eine Kassenbeleg"
"6451","TSE Transaktionsnummer","ID_KASSBEL_TSE_TRANSAKTIONSNUMMER","string","0","0","10","TSE Transaktionsnumm","Transaktionsnummer Kassenbeleg"
"6452","TSE Startzeit","ID_KASSBEL_TSE_STARTZEIT","string","0","0","15","TSE_START","TSE Startzeit"
"6453","TSE Endzeit","ID_KASSBEL_TSE_ENDZEIT","string","0","0","15","TSE_ENDZEIT","TSE Endzeit"
"6454","TSE Seriennummer","ID_KASSBEL_TSE_SERIENNUMMER","string","0","0","10","TSE Seriennummer","TSE Seriennummer"
"6455","TSE Signaturzähler","ID_KASSBEL_TSE_SIGNATURZAEHLER","string","0","0","10","TSE Signaturzähler","TSE Signaturzähler"
"6456","TSE Prüfwert","ID_KASSBEL_TSE_PRUEFWERT","string","0","0","10","TSE Prüfwert","TSE Prüfwert"
"6501","","ID_UMBUCHINTERN_PARTIEBEZEICH","","0","0","4","",""
"6502","","ID_UMBUCHINTERN_PARTIEMATCH","","0","0","4","",""
"6503","","ID_UMBUCHINTERN_PARTIEABDATUM","","0","0","4","",""
"6504","","ID_UMBUCHINTERN_PARTIEBISDATUM","","0","0","4","",""
"6505","","ID_UMBUCHINTERN_PARTIEUNFERTIG","","0","0","4","",""
"6506","","ID_UMBUCHINTERN_PARTIEFREMDARTIKEL","","0","0","4","",""
"6507","","ID_UMBUCHINTERN_PARTIEPOSIT","","0","0","4","",""
"6508","","ID_UMBUCHINTERN_PARTIEM_ABDATUM","","0","0","4","",""
"6509","","ID_UMBUCHINTERN_PARSOLLMENGE_EK","","0","0","4","",""
"6510","","ID_UMBUCHINTERN_PARRESTMENGE_EK","","0","0","4","",""
"6511","","ID_UMBUCHINTERN_PARRESTMENGEGES_EK","","0","0","4","",""
"6512","","ID_UMBUCHINTERN_PARSOLLMENGE_VK","","0","0","4","",""
"6513","","ID_UMBUCHINTERN_PARRESTMENGE_VK","","0","0","4","",""
"6514","","ID_UMBUCHINTERN_PARRESTMENGEGES_VK","","0","0","4","",""
